year,race_name,lap_number,driver_id,position,lap_time
2023,Bahrain Grand Prix,10,zhou,17,101.743
2023,Bahrain Grand Prix,10,de_vries,18,101.666
2023,Bahrain Grand Prix,10,kevin_magnussen,19,101.719
2023,Bahrain Grand Prix,10,gasly,20,121.262
2023,Bahrain Grand Prix,11,max_verstappen,1,98.483
2023,Bahrain Grand Prix,11,leclerc,2,99.212
2023,Bahrain Grand Prix,11,perez,3,99.249
2023,Bahrain Grand Prix,11,sainz,4,100.507
2023,Bahrain Grand Prix,11,hamilton,5,100.75200000000001
2023,Bahrain Grand Prix,11,russell,6,101.08500000000001
2023,Bahrain Grand Prix,11,alonso,7,101.14699999999999
2023,Bahrain Grand Prix,11,stroll,8,100.923
2023,Bahrain Grand Prix,11,bottas,9,103.269
2023,Bahrain Grand Prix,11,ocon,10,101.035
2023,Bahrain Grand Prix,11,sargeant,11,101.532
2023,Bahrain Grand Prix,11,albon,12,103.94800000000001
2023,Bahrain Grand Prix,11,piastri,13,101.352
2023,Bahrain Grand Prix,11,zhou,14,102.108
2023,Bahrain Grand Prix,11,kevin_magnussen,15,102.049
2023,Bahrain Grand Prix,11,hulkenberg,16,106.78999999999999
2023,Bahrain Grand Prix,11,de_vries,17,105.46000000000001
2023,Bahrain Grand Prix,11,tsunoda,18,119.843
2023,Bahrain Grand Prix,11,gasly,19,98.762
2023,Bahrain Grand Prix,11,norris,20,129.886
2023,Bahrain Grand Prix,12,max_verstappen,1,98.59100000000001
2023,Bahrain Grand Prix,12,leclerc,2,99.489
2023,Bahrain Grand Prix,12,perez,3,99.197
2023,Bahrain Grand Prix,12,sainz,4,100.52000000000001
2023,Bahrain Grand Prix,12,russell,5,101.112
2023,Bahrain Grand Prix,12,alonso,6,100.934
2023,Bahrain Grand Prix,12,hamilton,7,103.336
2023,Bahrain Grand Prix,12,stroll,8,101.039
2023,Bahrain Grand Prix,12,ocon,9,103.787
2023,Bahrain Grand Prix,12,sargeant,10,103.88
2023,Bahrain Grand Prix,12,piastri,11,101.156
2023,Bahrain Grand Prix,12,zhou,12,103.87
2023,Bahrain Grand Prix,12,kevin_magnussen,13,101.345
2023,Bahrain Grand Prix,12,bottas,14,119.45
2023,Bahrain Grand Prix,12,albon,15,119.445
2023,Bahrain Grand Prix,12,tsunoda,16,99.143
2023,Bahrain Grand Prix,12,gasly,17,98.928
2023,Bahrain Grand Prix,12,norris,18,99.314
2023,Bahrain Grand Prix,12,de_vries,19,121.184
2023,Bahrain Grand Prix,12,hulkenberg,20,122.579
2023,Bahrain Grand Prix,13,max_verstappen,1,98.482
2023,Bahrain Grand Prix,13,perez,2,99.336
2023,Bahrain Grand Prix,13,leclerc,3,102.068
2023,Bahrain Grand Prix,13,sainz,4,103.31
2023,Bahrain Grand Prix,13,alonso,5,100.34100000000001
2023,Bahrain Grand Prix,13,stroll,6,101.12
2023,Bahrain Grand Prix,13,russell,7,104.691
2023,Bahrain Grand Prix,13,hamilton,8,119.179
2023,Bahrain Grand Prix,13,kevin_magnussen,9,101.654
2023,Bahrain Grand Prix,13,bottas,10,98.03
2023,Bahrain Grand Prix,13,albon,11,98.649
2023,Bahrain Grand Prix,13,ocon,12,120.381
2023,Bahrain Grand Prix,13,tsunoda,13,99.471
2023,Bahrain Grand Prix,13,gasly,14,99.34899999999999
2023,Bahrain Grand Prix,13,sargeant,15,120.255
2023,Bahrain Grand Prix,13,piastri,16,122.071
2023,Bahrain Grand Prix,13,norris,17,99.50999999999999
2023,Bahrain Grand Prix,13,de_vries,18,98.924
2023,Bahrain Grand Prix,13,hulkenberg,19,99.406
2023,Bahrain Grand Prix,13,zhou,20,122.101
2023,Bahrain Grand Prix,14,max_verstappen,1,101.295
2023,Bahrain Grand Prix,14,perez,2,98.739
2023,Bahrain Grand Prix,14,stroll,3,100.00200000000001
2023,Bahrain Grand Prix,14,alonso,4,102.212
2023,Bahrain Grand Prix,14,leclerc,5,118.77000000000001
2023,Bahrain Grand Prix,14,sainz,6,119.006
2023,Bahrain Grand Prix,14,hamilton,7,98.30799999999999
2023,Bahrain Grand Prix,14,bottas,8,98.098
2023,Bahrain Grand Prix,14,kevin_magnussen,9,101.739
2023,Bahrain Grand Prix,14,russell,10,121.269
2023,Bahrain Grand Prix,14,albon,11,98.47200000000001
2023,Bahrain Grand Prix,14,ocon,12,98.649
2023,Bahrain Grand Prix,14,tsunoda,13,98.74199999999999
2023,Bahrain Grand Prix,14,gasly,14,98.85900000000001
2023,Bahrain Grand Prix,14,sargeant,15,98.413
2023,Bahrain Grand Prix,14,norris,16,99.243
2023,Bahrain Grand Prix,14,de_vries,17,98.82900000000001
2023,Bahrain Grand Prix,14,hulkenberg,18,98.84700000000001
2023,Bahrain Grand Prix,14,zhou,19,99.33
2023,Bahrain Grand Prix,15,perez,1,98.608
2023,Bahrain Grand Prix,15,max_verstappen,2,118.378
2023,Bahrain Grand Prix,15,leclerc,3,98.477
2023,Bahrain Grand Prix,15,stroll,4,102.84100000000001
2023,Bahrain Grand Prix,15,sainz,5,97.985
2023,Bahrain Grand Prix,15,hamilton,6,98.527
2023,Bahrain Grand Prix,15,bottas,7,98.851
2023,Bahrain Grand Prix,15,alonso,8,119.69200000000001
2023,Bahrain Grand Prix,15,russell,9,97.46000000000001
2023,Bahrain Grand Prix,15,albon,10,99.158
2023,Bahrain Grand Prix,15,kevin_magnussen,11,104.899
2023,Bahrain Grand Prix,15,tsunoda,12,98.975
2023,Bahrain Grand Prix,15,ocon,13,101.863
2023,Bahrain Grand Prix,15,gasly,14,98.985
2023,Bahrain Grand Prix,15,sargeant,15,99.033
